name,va,file_offset
internal/abi.(*MapType).IsDirectIface,0x140004d00,17152
internal/abi.(*MapType).Kind,0x140004d20,17184
internal/abi.(*MapType).Len,0x140004d40,17216
internal/abi.(*MapType).MapType,0x140004d60,17248
internal/abi.(*MapType).NumMethod,0x140004d80,17280
internal/abi.(*MapType).Pointers,0x140004da0,17312
internal/abi.(*MapType).Size,0x140004dc0,17344
internal/abi.(*MapType).StructType,0x140004de0,17376
internal/abi.(*MapType).Uncommon,0x140004e00,17408
internal/abi.(*ArrayType).Align,0x140004e80,17536
internal/abi.(*ArrayType).ArrayType,0x140004ea0,17568
internal/abi.(*ArrayType).ChanDir,0x140004ec0,17600
internal/abi.(*ArrayType).Common,0x140004ee0,17632
internal/abi.(*ArrayType).ExportedMethods,0x140004f00,17664
internal/abi.(*ArrayType).FieldAlign,0x140004f20,17696
internal/abi.(*ArrayType).FuncType,0x140004f40,17728
internal/abi.(*ArrayType).GcSlice,0x140004f60,17760
internal/abi.(*ArrayType).HasName,0x140005020,17952
internal/abi.(*ArrayType).InterfaceType,0x140005040,17984
internal/abi.(*ArrayType).IsDirectIface,0x140005060,18016
internal/abi.(*ArrayType).Key,0x140005080,18048
internal/abi.(*ArrayType).Kind,0x1400050a0,18080
internal/abi.(*ArrayType).MapType,0x1400050c0,18112
internal/abi.(*ArrayType).NumMethod,0x1400050e0,18144
internal/abi.(*ArrayType).Pointers,0x140005100,18176
internal/abi.(*ArrayType).Size,0x140005120,18208
internal/abi.(*ArrayType).StructType,0x140005140,18240
internal/abi.(*ArrayType).Uncommon,0x140005160,18272
internal/abi.(*FuncType).Align,0x1400051e0,18400
internal/abi.(*FuncType).ArrayType,0x140005200,18432
internal/abi.(*FuncType).ChanDir,0x140005220,18464
internal/abi.(*FuncType).Common,0x140005240,18496
internal/abi.(*FuncType).Elem,0x140005260,18528
internal/abi.(*FuncType).ExportedMethods,0x1400052c0,18624
internal/abi.(*FuncType).FieldAlign,0x1400052e0,18656
internal/abi.(*FuncType).FuncType,0x140005300,18688
internal/abi.(*FuncType).GcSlice,0x140005320,18720
internal/abi.(*FuncType).HasName,0x1400053e0,18912
internal/abi.(*FuncType).InterfaceType,0x140005400,18944
internal/abi.(*FuncType).IsDirectIface,0x140005420,18976
internal/abi.(*FuncType).Key,0x140005440,19008
internal/abi.(*FuncType).Kind,0x140005460,19040
internal/abi.(*FuncType).Len,0x140005480,19072
internal/abi.(*FuncType).MapType,0x1400054a0,19104
internal/abi.(*FuncType).NumMethod,0x1400054c0,19136
internal/abi.(*FuncType).Pointers,0x1400054e0,19168
internal/abi.(*FuncType).Size,0x140005500,19200
internal/abi.(*FuncType).StructType,0x140005520,19232
internal/abi.(*FuncType).Uncommon,0x140005540,19264
internal/abi.(*InterfaceType).Align,0x1400055c0,19392
internal/abi.(*InterfaceType).ArrayType,0x1400055e0,19424
internal/abi.(*InterfaceType).ChanDir,0x140005600,19456
internal/abi.(*InterfaceType).Common,0x140005620,19488
internal/abi.(*InterfaceType).Elem,0x140005640,19520
internal/abi.(*InterfaceType).ExportedMethods,0x1400056a0,19616
internal/abi.(*InterfaceType).FieldAlign,0x1400056c0,19648
internal/abi.(*InterfaceType).FuncType,0x1400056e0,19680
internal/abi.(*InterfaceType).GcSlice,0x140005700,19712
internal/abi.(*InterfaceType).HasName,0x1400057c0,19904
internal/abi.(*InterfaceType).InterfaceType,0x1400057e0,19936
